STORE,STORE_NAME,LABEL_NAME,ADDRESS,GEO_LATITUDE,GEO_LONGITUDE,OPEN_TIME,CLOSE_TIME
74,Бердск - Сибириада,Холди,"633011, г. Бердск, ул. Первомайская, 10/1",54.767757,83.099482,8:00:00 AM,9:00:00 PM
77,Бердск - 4,Сибириада,"633009, г. Бердск, Микрорайон, 54",54.743437,83.058222,8:00:00 AM,12:00:00 AM
80,Горный,Сибириада,"633411, пос. Горный, ул. Советская, 9",55.118344,83.880675,7:00:00 AM,11:00:00 PM
81,Барабинск,Сибириада,"632330, г. Барабинск, ул. Ермака, 12б",55.348007,78.337153,8:00:00 AM,11:00:00 PM
91,Омск Масленникова 183,Сибириада,"644009, г. Омск, ул. Масленникова, 183",54.975951,73.424276,8:00:00 AM,11:00:00 PM
92,Омск 12 Декабря 64,Сибириада,"644103, г. Омск, ул. 12 Декабря, 64",54.945562,73.339277,8:00:00 AM,12:00:00 AM
93,Омск 2 Поселковая 49,Сибириада,"644050, г. Омск, ул. 2-я Поселковая, 49",55.027567,73.300623,8:00:00 AM,12:00:00 AM
94,Омск Стальского 4,Сибириада,"644121, г. Омск, ул. Стальского, 4",54.938679,73.375003,8:00:00 AM,10:00:00 PM
95,Омск Молодогвардейская 3,Холди,"644058, г. Омск, ул. Молодогвардейская, 3",54.925458,73.453768,9:00:00 AM,10:00:00 PM
96,Омск Белозерова 10,Холди,"644100, г. Омск, ул. Белозерова, 10",55.044758,73.305303,9:00:00 AM,11:00:00 PM
101,Омск 5 Кордная 51,Холди,"644018, г. Омск, ул. 5-я Кордная, 51",54.959594,73.4677,9:00:00 AM,10:00:00 PM
102,Омск Мира 96,Холди,"644089, г. Омск, пр. Мира, 96",55.02926,73.251144,9:00:00 AM,10:00:00 PM
103,Омск Королева 12,Сибириада,"644045, г. Омск, ул. Королева, 12",55.038244,73.30194,8:00:00 AM,11:00:00 PM
107,ОмскДемьяна Бедного 69,Сибириада,"644030, г. Омск, ул. Демьяна Бедного, 69",54.925696,73.417332,8:00:00 AM,12:00:00 AM
108,Омск Омская 209,Сибириада,"644031, г. Омск, ул. Омская, 209",54.993045,73.429854,8:00:00 AM,11:00:00 PM
109,Омск 75 Гвардейской Бригады 2,Сибириада,"644076, г. Омск, ул. 75 Гвардейской Бригады, 2",54.973006,73.472192,8:00:00 AM,12:00:00 AM
110,Омск Авиагородок 12,Холди,"644103, г. Омск, ул. Авиагородок, 12 ",54.949756,73.326126,9:00:00 AM,10:00:00 PM
